1648869653892.6594 , 927.8996594238281 927.9
1648869653893.6519 , 0.0006518554687318101
1648869653893.9844 , -3.8276868419646917
1648869654299.0928 , -3.8207064762115124
1648869655308.7456 , -3.810502897262495
1648869656325.4253 , -3.794545856475793
1648869657340.789 , -3.778592716216963
1648869658352.279 , -3.7668800430298006
1648869659368.3545 , -3.7509691123962057
1648869660383.8733 , -3.7359440784454137
1648869661393.275 , -3.7259740772246914
1648869662403.6663 , -3.715478769302308
1648869663418.9194 , -3.700876001357983
1648869664433.838 , -3.685845964431792